variable,Ant,Ant,Ant,Ant,Ant,Nat,Nat,Nat,Nat,Nat,GHG,GHG,GHG,GHG,GHG,OHF,OHF,OHF,OHF,OHF
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,,,,,,
1911,-0.124903527,-0.061427755,0.11388649780415029,0.17736242564330196,0.026229264121512316,-0.040965905,-0.017117238,0.048745960659956476,0.072591334,0.015816635,0.058712608868268505,0.083570842,0.15227412934108037,0.17716655290513963,0.11789887775261759,-0.182221875,-0.133079792,0.002437545,0.051428706315055014,-0.065216916
1912,-0.151646443,-0.053086306,0.21912878986192025,0.31768992985186517,0.083020549,-0.113884386,-0.089253348,-0.021171098,0.003498804,-0.055239058,0.10146229835391195,0.1206433728717163,0.1737148645474521,0.19296487020862887,0.14713152339630325,-0.207144104,-0.140770775,0.04245862,0.10876864721495644,-0.04911237
1913,-0.191742029,-0.082141975,0.2205638021520588,0.3301644832789258,0.069210481,-0.151610857,-0.117139719,-0.021872939,0.012642211799475514,-0.069536719,0.10554582401126783,0.12858456361549941,0.19230958811715584,0.21541655591067546,0.16039996592610492,-0.246401199,-0.171140809,0.036576809996332504,0.11173262740275111,-0.067209795
1914,-0.131262401,-0.072462535,0.08993712,0.14873700446458823,0.00873728,-0.105953765,-0.07474426,0.011467331006394695,0.042686909,-0.03164542,0.092495201,0.11697084170262581,0.1846486158373165,0.20918101814850013,0.1507705364552058,-0.225131682,-0.172290831,-0.026799671,0.025715146643568762,-0.099320132
1915,-0.131159749,-0.080037191,0.061158409,0.11228094105870921,-0.009439374,-0.058150637,-0.037502032,0.019529144924221413,0.040178978,-0.008987291,0.094666494,0.12259846638791295,0.19982241312704718,0.22781122986602043,0.16117119001132224,-0.248507276,-0.193788395,-0.043276718,0.010995615281009966,-0.118224226
1916,-0.149316983,-0.066066216,0.16386504333623275,0.24711622252487675,0.048899129,-0.056088015,-0.035946775,0.019682834562590047,0.039825105,-0.008132682,0.11760406701276244,0.13955198917876468,0.20028093546333506,0.22230914681374583,0.16986102455086305,-0.23527396,-0.172927513,-0.00102381,0.061111735,-0.086830039
1917,-0.013855416,0.057644686,0.2551279342991183,0.32663294359048595,0.15638292146818192,-0.077447762,-0.049213169,0.028769693,0.057005448,-0.01022254,0.10989602275123157,0.1371213833422659,0.21240985845376242,0.23970373846070836,0.17471830987274187,-0.138734312,-0.089381252,0.046905244,0.096242405,-0.021227027
1918,-0.103399304,-0.017010952,0.22158784570518947,0.30797793462052153,0.10228724672687375,-0.048027167,-0.02002116,0.057323376085060836,0.085325482,0.018653802,0.11769099872484264,0.14430675652310485,0.21792087374447214,0.24461189048582072,0.18106185062546695,-0.206322014,-0.145018191,0.024154114,0.085354374,-0.060360531
1919,-0.118219103,-0.042477585,0.16671428324059656,0.24245653206837633,0.062117844383186425,-0.028549947,-0.001757218,0.072221644,0.098999814,0.035242265,0.14626190304865694,0.17170462724619986,0.24211680454476942,0.2676622087358458,0.20683981780471153,-0.251268153,-0.189449705,-0.019135415,0.042377175,-0.104081373
1920,-0.031540718,0.021806937721869868,0.16915146739026754,0.22250157474935225,0.09547751,-0.01837783,0.002442333,0.059925371,0.080730855,0.031193987526846188,0.15649073334725233,0.1824499338105576,0.2543015508858579,0.2803728317529425,0.2182983534979792,-0.205617174,-0.157329086,-0.024372363,0.023618554,-0.090645535
